work_id,work_id_raw,mp_id,ida_id,category,description,recommended_amount,recommendation_date
1,HEA-14-2023-0001,9,18,Health,Construction of health facility at Lalla Ganj,496400000,2025-05-04
2,HEA-19-2023-0002,14,7,Health,Construction of health facility at Hora,325700000,2024-07-27
3,ROA-20-2023-0003,15,19,Roads,Construction of roads facility at Kar Zila,346200000,2025-01-16
4,RAI-9-2023-0004,4,11,Railways,Construction of railways facility at Lata Street,348800000,2025-06-04
5,ROA-24-2023-0005,19,19,Roads,Construction of roads facility at Bora Street,229900000,2023-10-17
6,EDU-26-2023-0006,21,10,Education,Construction of education facility at Mohanty Street,222800000,2024-12-06
7,ROA-13-2023-0007,8,18,Roads,Construction of roads facility at Mani,164300000,2024-08-07
8,EDU-30-2023-0008,25,8,Education,Construction of education facility at Sidhu Zila,175200000,2025-02-16
9,DRI-30-2023-0009,25,17,Drinking Water,Construction of drinking water facility at Rau Road,143800000,2024-03-30
10,DRI-19-2023-0010,14,1,Drinking Water,Construction of drinking water facility at Zacharia Circle,265700000,2024-09-18
11,ELE-27-2023-0011,22,1,Electricity,Construction of electricity facility at Buch Chowk,356300000,2024-12-08
12,ROA-18-2023-0012,13,2,Roads,Construction of roads facility at Sankaran Nagar,246100000,2025-03-24
13,ELE-10-2023-0013,5,6,Electricity,Construction of electricity facility at Krishna Path,439300000,2023-09-21
14,RAI-23-2023-0014,18,5,Railways,Construction of railways facility at Karnik Zila,473900000,2025-02-05
15,DRI-14-2023-0015,9,11,Drinking Water,Construction of drinking water facility at Bail,237500000,2025-04-17
16,ELE-10-2023-0016,5,8,Electricity,Construction of electricity facility at Baria Road,437200000,2025-04-15
17,RAI-17-2023-0017,12,19,Railways,Construction of railways facility at Singhal Street,94300000,2024-10-08
18,HEA-25-2023-0018,20,8,Health,Construction of health facility at Mall Chowk,489300000,2024-01-19
19,DRI-12-2023-0019,7,13,Drinking Water,Construction of drinking water facility at Sarin,126400000,2025-01-06
20,SPO-30-2023-0020,25,1,Sports,Construction of sports facility at Chand Chowk,267200000,2024-08-31
21,DRI-24-2023-0021,19,17,Drinking Water,Construction of drinking water facility at Rege Path,494100000,2024-05-16
22,EDU-29-2023-0022,24,4,Education,Construction of education facility at Cheema Path,105600000,2025-06-28
23,SAN-21-2023-0023,16,4,Sanitation,Construction of sanitation facility at Narayan Street,263600000,2024-07-16
24,EDU-7-2023-0024,2,6,Education,Construction of education facility at Mani Chowk,110000000,2025-01-27
25,RAI-29-2023-0025,24,10,Railways,Construction of railways facility at Bansal Marg,495000000,2024-08-19
26,EDU-15-2023-0026,10,14,Education,Construction of education facility at Murty Zila,160000000,2024-03-15
27,ROA-9-2023-0027,4,7,Roads,Construction of roads facility at D’Alia Path,464000000,2025-04-23
28,ELE-22-2023-0028,17,11,Electricity,Construction of electricity facility at Varkey Marg,264500000,2025-06-02
29,DRI-7-2023-0029,2,17,Drinking Water,Construction of drinking water facility at Shere Nagar,352400000,2024-07-17
30,HEA-28-2023-0030,23,15,Health,Construction of health facility at Guha Nagar,254400000,2024-10-07
31,SAN-8-2023-0031,3,17,Sanitation,Construction of sanitation facility at Tara Path,387200000,2024-12-29
32,RAI-30-2023-0032,25,19,Railways,Construction of railways facility at Behl Chowk,336400000,2024-02-06
33,ROA-8-2023-0033,3,9,Roads,Construction of roads facility at Deep Road,337600000,2025-08-21
34,ROA-20-2023-0034,15,13,Roads,Construction of roads facility at Sarma Road,81300000,2025-07-16
35,DRI-11-2023-0035_Drinking Water,6,4,Drinking Water,Construction of drinking water facility at Dara Chowk,407200000,2023-09-23
36,SAN-8-2023-0036,3,16,Sanitation,Construction of sanitation facility at Khatri,307100000,2025-03-05
37,SPO-25-2023-0037,20,11,Sports,Construction of sports facility at Mukhopadhyay Street,360500000,2024-11-01
38,SAN-7-2023-0038,2,16,Sanitation,Construction of sanitation facility at Reddy Nagar,430900000,2023-11-12
39,HEA-29-2023-0039,24,11,Health,Construction of health facility at Comar Ganj,304200000,2024-08-24
40,EDU-17-2023-0040,12,14,Education,Construction of education facility at Dube Zila,423000000,2024-09-22
41,EDU-23-2023-0041,18,11,Education,Construction of education facility at Upadhyay Road,398200000,2025-03-01
42,SAN-28-2023-0042,23,15,Sanitation,Construction of sanitation facility at Sagar Road,412500000,2025-06-10
43,ROA-26-2023-0043,21,5,Roads,Construction of roads facility at Sodhi Chowk,477000000,2024-03-08
44,SAN-15-2023-0044,10,18,Sanitation,Construction of sanitation facility at Dhillon Chowk,311900000,2024-06-24
45,SPO-24-2023-0045,19,2,Sports,Construction of sports facility at Trivedi Ganj,101000000,2025-04-02
46,SPO-14-2023-0046,9,15,Sports,Construction of sports facility at Boase Street,393200000,2024-04-02
47,RAI-7-2023-0047,2,19,Railways,Construction of railways facility at Oak Marg,73700000,2025-08-26
48,SPO-13-2023-0048,8,12,Sports,Construction of sports facility at Loke Circle,72200000,2025-05-30
49,SAN-11-2023-0049,6,20,Sanitation,Construction of sanitation facility at Mandal Nagar,360500000,2025-03-17
50,SAN-13-2023-0050,8,2,Sanitation,Construction of sanitation facility at Suri Road,233600000,2025-07-04
51,ELE-15-2023-0051,10,6,Electricity,Construction of electricity facility at Sekhon Street,245400000,2024-10-23
52,EDU-9-2023-0052,4,6,Education,Construction of education facility at Pai Chowk,184100000,2024-05-16
53,HEA-22-2023-0053,17,6,Health,Construction of health facility at Purohit Circle,133400000,2024-08-19
54,SAN-30-2023-0054,25,17,Sanitation,Construction of sanitation facility at Gulati Path,106400000,2025-02-23
55,ROA-12-2023-0055,7,16,Roads,Construction of roads facility at Rajagopal Ganj,490800000,2024-02-29
56,RAI-23-2023-0056,18,14,Railways,Construction of railways facility at Bassi Marg,249700000,2024-05-05
57,HEA-30-2023-0057,25,14,Health,Construction of health facility at Raj Chowk,340600000,2024-06-26
58,SPO-6-2023-0058,1,17,Sports,Construction of sports facility at Tandon Street,450200000,2023-09-29
59,HEA-13-2023-0059,8,17,Health,Construction of health facility at Thakkar Street,300800000,2024-12-02
60,ROA-9-2023-0060,4,19,Roads,Construction of roads facility at Chaudhry Path,238800000,2025-07-11
61,ROA-27-2023-0061,22,15,Roads,Construction of roads facility at Chaudhry Chowk,132300000,2024-10-13
62,DRI-30-2023-0062,25,1,Drinking Water,Construction of drinking water facility at Aurora Chowk,289300000,2025-03-15
63,DRI-6-2023-0063,1,13,Drinking Water,Construction of drinking water facility at Rout Street,256800000,2025-07-08
64,ROA-21-2023-0064,16,1,Roads,Construction of roads facility at Borde Street,119700000,2024-08-30
65,SPO-14-2023-0065,9,6,Sports,Construction of sports facility at Nigam Road,300100000,2024-12-28
66,HEA-14-2023-0066,9,16,Health,Construction of health facility at Buch Marg,192300000,2025-06-23
67,ROA-19-2023-0067,14,19,Roads,Construction of roads facility at Walla Path,421900000,2024-06-22
68,ROA-17-2023-0068,12,12,Roads,Construction of roads facility at Sura Path,166500000,2025-07-09
69,ROA-19-2023-0069,14,11,Roads,Construction of roads facility at Banik Circle,459900000,2024-12-23
70,EDU-9-2023-0070,4,6,Education,Construction of education facility at Keer Zila,237500000,2025-01-03
71,RAI-24-2023-0071,19,4,Railways,Construction of railways facility at Karan Road,277800000,2025-04-03
72,ELE-25-2023-0072,20,2,Electricity,Construction of electricity facility at Saraf Zila,320100000,2023-11-16
73,SPO-11-2023-0073,6,6,Sports,Construction of sports facility at Sawhney Zila,471500000,2024-01-08
74,RAI-6-2023-0074,1,9,Railways,Construction of railways facility at Balakrishnan Road,92200000,2023-10-06
75,SPO-21-2023-0075,16,20,Sports,Construction of sports facility at Bhalla Path,126300000,2024-04-15
76,RAI-22-2023-0076,17,18,Railways,Construction of railways facility at Prasad Path,436800000,2024-07-31
77,SPO-30-2023-0077,25,4,Sports,Construction of sports facility at Konda Street,328400000,2024-10-17
78,SPO-15-2023-0078,10,13,Sports,Construction of sports facility at Gole Marg,423000000,2024-01-11
79,RAI-28-2023-0079,23,20,Railways,Construction of railways facility at Brar Street,362300000,2024-12-17
80,SAN-20-2023-0080,15,1,Sanitation,Construction of sanitation facility at Khosla Marg,132200000,2024-09-21
81,ROA-18-2023-0081,13,1,Roads,Construction of roads facility at Dhar,327300000,2024-02-28
82,DRI-10-2023-0082,5,13,Drinking Water,Construction of drinking water facility at Kumar Chowk,106000000,2024-08-22
83,EDU-19-2023-0083,14,8,Education,Construction of education facility at Andra Road,413400000,2025-07-30
84,SPO-22-2023-0084,17,5,Sports,Construction of sports facility at Mani Chowk,169200000,2025-02-08
85,SPO-12-2023-0085,7,14,Sports,Construction of sports facility at Dugar Circle,247200000,2023-10-28
86,ELE-14-2023-0086,9,14,Electricity,Construction of electricity facility at Pai Chowk,110500000,2024-11-30
87,RAI-23-2023-0087,18,7,Railways,Construction of railways facility at Samra Road,137300000,2025-02-18
88,DRI-22-2023-0088,17,14,Drinking Water,Construction of drinking water facility at Shan Road,456900000,2025-06-18
89,ELE-27-2023-0089,22,8,Electricity,Construction of electricity facility at Issac Road,129500000,2024-06-25
90,ELE-16-2023-0090,11,15,Electricity,Construction of electricity facility at Chhabra Chowk,214400000,2024-03-03
91,SAN-21-2023-0091,16,18,Sanitation,Construction of sanitation facility at Parmer Marg,144300000,2024-11-20
92,EDU-9-2023-0092,4,7,Education,Construction of education facility at Merchant Road,422500000,2023-09-18
93,SAN-15-2023-0093,10,19,Sanitation,Construction of sanitation facility at Maharaj Marg,231300000,2023-09-07
94,DRI-23-2023-0094,18,20,Drinking Water,Construction of drinking water facility at Bawa,299300000,2025-08-08
95,SPO-16-2023-0095,11,20,Sports,Construction of sports facility at Taneja,176500000,2025-06-08
96,EDU-10-2023-0096,5,7,Education,Construction of education facility at Karpe Road,350900000,2024-12-15
97,EDU-22-2023-0097,17,17,Education,Construction of education facility at Kanda Path,422500000,2025-01-07
98,HEA-17-2023-0098,12,5,Health,Construction of health facility at Krishna Ganj,106200000,2025-02-08
99,ELE-13-2023-0099,8,18,Electricity,Construction of electricity facility at Chatterjee Street,156400000,2025-08-02
100,HEA-29-2023-0100_Health,24,6,Health,Construction of health facility at More Nagar,315200000,2025-05-05
101,EDU-29-2023-0101,24,9,Education,Construction of education facility at Bandi Chowk,420200000,2024-11-24
102,EDU-27-2023-0102,22,6,Education,Construction of education facility at Deep Path,451600000,2023-11-10
103,SAN-7-2023-0103,2,19,Sanitation,Construction of sanitation facility at Narain Road,362000000,2025-04-03
104,RAI-27-2023-0104,22,19,Railways,Construction of railways facility at Gill Marg,376600000,2024-02-03
105,EDU-12-2023-0105,7,17,Education,Construction of education facility at Zacharia Street,126300000,2025-07-12
106,EDU-14-2023-0106,9,5,Education,Construction of education facility at Wali Path,386500000,2024-09-24
107,HEA-22-2023-0107,17,8,Health,Construction of health facility at Gala Road,176700000,2024-03-18
108,SPO-23-2023-0108,18,11,Sports,Construction of sports facility at Merchant Chowk,71500000,2025-04-02
109,SAN-19-2023-0109,14,1,Sanitation,Construction of sanitation facility at Contractor Path,55000000,2024-08-29
110,RAI-24-2023-0110,19,9,Railways,Construction of railways facility at Dhaliwal Zila,329200000,2025-04-08
111,DRI-24-2023-0111,19,1,Drinking Water,Construction of drinking water facility at Ranganathan Ganj,116800000,2025-06-18
112,SPO-12-2023-0112,7,7,Sports,Construction of sports facility at Pau Circle,140800000,2023-11-10
113,ROA-18-2023-0113,13,6,Roads,Construction of roads facility at Atwal Marg,223000000,2024-03-24
114,HEA-10-2023-0114,5,16,Health,Construction of health facility at Dasgupta Circle,459800000,2024-08-19
115,RAI-16-2023-0115,11,2,Railways,Construction of railways facility at Lala Path,113700000,2024-11-28
116,SAN-27-2023-0116,22,6,Sanitation,Construction of sanitation facility at Prabhu Marg,190700000,2023-11-24
117,SPO-24-2023-0117,19,1,Sports,Construction of sports facility at Sinha Ganj,479200000,2023-09-20
118,EDU-27-2023-0118,22,2,Education,Construction of education facility at Narang,484600000,2025-08-11
119,HEA-14-2023-0119,9,18,Health,Construction of health facility at Kant,192100000,2025-01-16
120,RAI-21-2023-0120,16,15,Railways,Construction of railways facility at Shetty Zila,314700000,2025-08-07
121,EDU-17-2023-0121,12,3,Education,Construction of education facility at Rege Road,304200000,2023-11-30
122,DRI-21-2023-0122,16,19,Drinking Water,Construction of drinking water facility at Bath Street,418400000,2023-09-29
123,SAN-8-2023-0123,3,2,Sanitation,Construction of sanitation facility at Tailor Road,119000000,2023-11-30
124,SAN-18-2023-0124,13,12,Sanitation,Construction of sanitation facility at Keer Zila,92800000,2025-07-21
125,ELE-22-2023-0125,17,7,Electricity,Construction of electricity facility at Deshmukh Circle,323000000,2024-06-28
126,SAN-11-2023-0126,6,6,Sanitation,Construction of sanitation facility at Prabhakar Chowk,154600000,2025-02-02
127,ELE-23-2023-0127,18,6,Electricity,Construction of electricity facility at Saini Circle,225400000,2024-11-30
128,EDU-7-2023-0128,2,11,Education,Construction of education facility at Sachdeva Street,465800000,2025-01-21
