canonical_work_id,source_parliament,source_dataset,source_row_id,matched_dataset,matched_row_id,official_work_id,match_method,match_score,confidence_level,review_status
CW_000001,rajya_sabha,works recommended (2),1255,works sanctioned (7),1230,,fuzzy_multi_field,100.0,HIGH,auto_matched
CW_000002,rajya_sabha,works recommended (2),1137,works sanctioned (7),934,,fuzzy_multi_field,100.0,HIGH,auto_matched
CW_000003,rajya_sabha,works recommended (2),1032,works sanctioned (7),963,,fuzzy_multi_field,100.0,HIGH,auto_matched
CW_000004,rajya_sabha,works recommended (2),245,works sanctioned (7),282,,fuzzy_multi_field,100.0,HIGH,auto_matched
CW_000005,rajya_sabha,works recommended (2),1140,works sanctioned (7),941,,fuzzy_multi_field,100.0,HIGH,auto_matched
CW_000006,rajya_sabha,works recommended (2),1043,works sanctioned (7),1007,,fuzzy_multi_field,99.14,HIGH,auto_matched
CW_000007,rajya_sabha,works recommended (2),1060,works sanctioned (7),1037,,fuzzy_multi_field,100.0,HIGH,auto_matched
CW_000008,rajya_sabha,works recommended (2),1157,works sanctioned (7),971,,fuzzy_multi_field,100.0,HIGH,auto_matched
CW_000009,rajya_sabha,works recommended (2),11,works sanctioned (7),234,,fuzzy_multi_field,92.34,HIGH,auto_matched
CW_000010,rajya_sabha,works recommended (2),1373,works sanctioned (7),1398,,fuzzy_multi_field,91.52,HIGH,auto_matched
CW_000011,rajya_sabha,works recommended (2),1048,works sanctioned (7),931,,fuzzy_multi_field,100.0,HIGH,auto_matched
CW_000012,rajya_sabha,works recommended (2),351,works sanctioned (7),344,,fuzzy_multi_field,100.0,HIGH,auto_matched
CW_000013,rajya_sabha,works recommended (2),123,works sanctioned (7),20,,fuzzy_multi_field,97.02,HIGH,auto_matched
CW_000014,rajya_sabha,works recommended (2),1132,works sanctioned (7),1039,,fuzzy_multi_field,100.0,HIGH,auto_matched
CW_000015,rajya_sabha,works recommended (2),1149,works sanctioned (7),1069,,fuzzy_multi_field,100.0,HIGH,auto_matched
CW_000016,rajya_sabha,works recommended (2),258,works sanctioned (7),218,,fuzzy_multi_field,100.0,HIGH,auto_matched
CW_000017,rajya_sabha,works recommended (2),1473,works sanctioned (7),1474,,fuzzy_multi_field,100.0,HIGH,auto_matched
CW_000018,rajya_sabha,works recommended (2),922,works sanctioned (7),1257,,fuzzy_multi_field,85.45,HIGH,auto_matched
CW_000019,rajya_sabha,works recommended (2),225,works sanctioned (7),274,,fuzzy_multi_field,100.0,HIGH,auto_matched
CW_000020,rajya_sabha,works recommended (2),242,works sanctioned (7),304,,fuzzy_multi_field,100.0,HIGH,auto_matched
CW_000021,rajya_sabha,works recommended (2),1040,works sanctioned (7),1029,,fuzzy_multi_field,100.0,HIGH,auto_matched
CW_000022,rajya_sabha,works recommended (2),115,works sanctioned (7),118,,fuzzy_multi_field,100.0,HIGH,auto_matched
CW_000023,rajya_sabha,works recommended (2),13,works sanctioned (7),51,,fuzzy_multi_field,97.58,HIGH,auto_matched
CW_000024,rajya_sabha,works recommended (2),1131,works sanctioned (7),977,,fuzzy_multi_field,100.0,HIGH,auto_matched
CW_000025,rajya_sabha,works recommended (2),120,works sanctioned (7),42,,fuzzy_multi_field,100.0,HIGH,auto_matched
CW_000026,rajya_sabha,works recommended (2),23,works sanctioned (7),108,,fuzzy_multi_field,97.58,HIGH,auto_matched
CW_000027,rajya_sabha,works recommended (2),1346,works sanctioned (7),1342,,fuzzy_multi_field,90.94,HIGH,auto_matched
CW_000028,rajya_sabha,works recommended (2),1363,works sanctioned (7),1372,,fuzzy_multi_field,86.67,HIGH,auto_matched
CW_000029,rajya_sabha,works recommended (2),1468,works sanctioned (7),1446,,fuzzy_multi_field,99.79,HIGH,auto_matched
CW_000030,rajya_sabha,works recommended (2),22,works sanctioned (7),46,,fuzzy_multi_field,97.58,HIGH,auto_matched
CW_000031,rajya_sabha,works recommended (2),1014,works sanctioned (7),1035,,fuzzy_multi_field,100.0,HIGH,auto_matched
CW_000032,rajya_sabha,works recommended (2),1031,works sanctioned (7),1065,,fuzzy_multi_field,100.0,HIGH,auto_matched
CW_000033,rajya_sabha,works recommended (2),669,works sanctioned (7),659,,fuzzy_multi_field,100.0,HIGH,auto_matched
