feature_name,prediction_milestone,leakage_status,rationale
canonical_work_id,sanction_date,IDENTIFIER,Entity identification and dimensional routing
official_work_id,sanction_date,IDENTIFIER,Entity identification and dimensional routing
parliament,sanction_date,IDENTIFIER,Entity identification and dimensional routing
state,sanction_date,IDENTIFIER,Entity identification and dimensional routing
constituency,sanction_date,IDENTIFIER,Entity identification and dimensional routing
mp_name,sanction_date,IDENTIFIER,Entity identification and dimensional routing
work_category,sanction_date,AVAILABLE_AT_PREDICTION,Available at or prior to sanction decision timestamp. Safe for delay/cost risk prediction.
work_description,sanction_date,AVAILABLE_AT_PREDICTION,Available at or prior to sanction decision timestamp. Safe for delay/cost risk prediction.
recommended_date,sanction_date,AVAILABLE_AT_PREDICTION,Available at or prior to sanction decision timestamp. Safe for delay/cost risk prediction.
recommended_amount,sanction_date,AVAILABLE_AT_PREDICTION,Available at or prior to sanction decision timestamp. Safe for delay/cost risk prediction.
sanction_date,sanction_date,AVAILABLE_AT_PREDICTION,Available at or prior to sanction decision timestamp. Safe for delay/cost risk prediction.
sanctioned_amount,sanction_date,AVAILABLE_AT_PREDICTION,Available at or prior to sanction decision timestamp. Safe for delay/cost risk prediction.
completion_date,sanction_date,POST_PREDICTION,Reflects post-sanction or final lifecycle milestone. Exclude from pre-execution prediction feature matrices.
completion_amount,sanction_date,POST_PREDICTION,Reflects post-sanction or final lifecycle milestone. Exclude from pre-execution prediction feature matrices.
expenditure_amount,sanction_date,POST_PREDICTION,Reflects post-sanction or final lifecycle milestone. Exclude from pre-execution prediction feature matrices.
expenditure_transaction_count,sanction_date,POST_PREDICTION,Reflects post-sanction or final lifecycle milestone. Exclude from pre-execution prediction feature matrices.
first_expenditure_date,sanction_date,AVAILABLE_AT_PREDICTION,Available at or prior to sanction decision timestamp. Safe for delay/cost risk prediction.
last_expenditure_date,sanction_date,POST_PREDICTION,Reflects post-sanction or final lifecycle milestone. Exclude from pre-execution prediction feature matrices.
vendor_name,sanction_date,AVAILABLE_AT_PREDICTION,Available at or prior to sanction decision timestamp. Safe for delay/cost risk prediction.
ida_agency,sanction_date,AVAILABLE_AT_PREDICTION,Available at or prior to sanction decision timestamp. Safe for delay/cost risk prediction.
work_status,sanction_date,AVAILABLE_AT_PREDICTION,Available at or prior to sanction decision timestamp. Safe for delay/cost risk prediction.
