alert_id,canonical_work_id,source_house,canonical_state,canonical_mp_name,priority,project_risk_score,delay_probability,expected_delay_days,status,evidence_json,auditor_notes,created_at,updated_at
ALT_10000393188270364979,WORK_HASH_10000393188270364979,RAJYA_SABHA,ODISHA,SASMIT PATRA (2022-28) (2022-2028),CRITICAL,78.6,0.9781,70,VALIDATED_RISK,"{""risk_drivers"": [""High historical sanction/completion delay duration"", ""Long inactivity period post-sanction (>180 days without disbursement)"", ""Extended period without recent progress updates""], ""threshold_breached"": ""Project Risk Score 78.6 >= 75.0"", ""delay_probability_pct"": 97.8, ""expected_delay_days"": 70, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 10.2, ""recommended_monitoring_priority"": ""CRITICAL""}",Auditor confirmed high delay risk due to procurement hold.,2026-09-02T22:35:23.415608,2026-09-02T22:37:26.528634
ALT_10000716604173966574,WORK_HASH_10000716604173966574,LOK_SABHA,UTTARAKHAND,AJAY BHATT,CRITICAL,79.4,0.9952,90,NEW,"{""risk_drivers"": [""High historical sanction/completion delay duration"", ""Long inactivity period post-sanction (>180 days without disbursement)"", ""Extended period without recent progress updates""], ""threshold_breached"": ""Project Risk Score 79.4 >= 75.0"", ""delay_probability_pct"": 99.5, ""expected_delay_days"": 90, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 5.0, ""recommended_monitoring_priority"": ""CRITICAL""}",,2026-09-02T22:35:23.416175,2026-09-02T22:35:23.416177
ALT_10000797480325628483,WORK_HASH_10000797480325628483,,,,MEDIUM,0.0,0.0,0,NEW,"{""risk_drivers"": [""Extended period without recent progress updates""], ""threshold_breached"": ""Project Risk Score 0.0 >= 25.0"", ""delay_probability_pct"": 0.0, ""expected_delay_days"": 0, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 12.3, ""recommended_monitoring_priority"": ""LOW""}",,2026-09-02T22:35:23.416212,2026-09-02T22:35:23.416214
ALT_10000829664155439528,WORK_HASH_10000829664155439528,LOK_SABHA,UTTAR PRADESH,RAJEEV RAI,MEDIUM,46.3,0.9959,161,NEW,"{""risk_drivers"": [""High historical sanction/completion delay duration"", ""Extended period without recent progress updates""], ""threshold_breached"": ""Project Risk Score 46.3 >= 25.0"", ""delay_probability_pct"": 99.6, ""expected_delay_days"": 161, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 22.9, ""recommended_monitoring_priority"": ""MEDIUM""}",,2026-09-02T22:35:23.416235,2026-09-02T22:35:23.416236
ALT_10000912191893646174,WORK_HASH_10000912191893646174,,,,MEDIUM,0.0,0.0,0,NEW,"{""risk_drivers"": [""Extended period without recent progress updates""], ""threshold_breached"": ""Project Risk Score 0.0 >= 25.0"", ""delay_probability_pct"": 0.0, ""expected_delay_days"": 0, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 12.3, ""recommended_monitoring_priority"": ""LOW""}",,2026-09-02T22:35:23.416262,2026-09-02T22:35:23.416264
ALT_10000956315372509171,WORK_HASH_10000956315372509171,RAJYA_SABHA,UTTARAKHAND,NARESH BANSAL (2020-26) (2020-2026),MEDIUM,0.0,0.0,0,NEW,"{""risk_drivers"": [""Normal project lifecycle trajectory""], ""threshold_breached"": ""Project Risk Score 0.0 >= 25.0"", ""delay_probability_pct"": 0.0, ""expected_delay_days"": 0, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 0.0, ""recommended_monitoring_priority"": ""LOW""}",,2026-09-02T22:35:23.416279,2026-09-02T22:35:23.416281
ALT_10000956315372509171,WORK_HASH_10000956315372509171,RAJYA_SABHA,UTTARAKHAND,NARESH BANSAL (2020-26) (2020-2026),MEDIUM,0.0,0.0,0,NEW,"{""risk_drivers"": [""Normal project lifecycle trajectory""], ""threshold_breached"": ""Project Risk Score 0.0 >= 25.0"", ""delay_probability_pct"": 0.0, ""expected_delay_days"": 0, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 0.0, ""recommended_monitoring_priority"": ""LOW""}",,2026-09-02T22:35:23.416293,2026-09-02T22:35:23.416295
ALT_10001265212636266948,WORK_HASH_10001265212636266948,RAJYA_SABHA,BIHAR,BHIM SINGH (2024-30) (2024-2030),CRITICAL,79.4,0.9953,34,NEW,"{""risk_drivers"": [""High historical sanction/completion delay duration"", ""Long inactivity period post-sanction (>180 days without disbursement)"", ""Extended period without recent progress updates""], ""threshold_breached"": ""Project Risk Score 79.4 >= 75.0"", ""delay_probability_pct"": 99.5, ""expected_delay_days"": 34, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 17.6, ""recommended_monitoring_priority"": ""CRITICAL""}",,2026-09-02T22:35:23.416312,2026-09-02T22:35:23.416313
ALT_10001321085147997629,WORK_HASH_10001321085147997629,LOK_SABHA,MADHYA PRADESH,LATA WANKHEDE,CRITICAL,79.5,0.9971,72,NEW,"{""risk_drivers"": [""High historical sanction/completion delay duration"", ""Long inactivity period post-sanction (>180 days without disbursement)"", ""Extended period without recent progress updates""], ""threshold_breached"": ""Project Risk Score 79.5 >= 75.0"", ""delay_probability_pct"": 99.7, ""expected_delay_days"": 72, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 7.5, ""recommended_monitoring_priority"": ""CRITICAL""}",,2026-09-02T22:35:23.416328,2026-09-02T22:35:23.416330
ALT_10001434618151702319,WORK_HASH_10001434618151702319,LOK_SABHA,PUNJAB,DHARAMVIRA GANDHI,MEDIUM,46.1,0.9935,122,NEW,"{""risk_drivers"": [""High historical sanction/completion delay duration"", ""Extended period without recent progress updates""], ""threshold_breached"": ""Project Risk Score 46.1 >= 25.0"", ""delay_probability_pct"": 99.4, ""expected_delay_days"": 122, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 49.2, ""recommended_monitoring_priority"": ""MEDIUM""}",,2026-09-02T22:35:23.416345,2026-09-02T22:35:23.416347
ALT_10001490970208159713,WORK_HASH_10001490970208159713,RAJYA_SABHA,UTTAR PRADESH,HARDEEP SINGH PURI (2020-26) (2020-2026),CRITICAL,79.6,0.9977,101,NEW,"{""risk_drivers"": [""High historical sanction/completion delay duration"", ""Long inactivity period post-sanction (>180 days without disbursement)"", ""Extended period without recent progress updates""], ""threshold_breached"": ""Project Risk Score 79.6 >= 75.0"", ""delay_probability_pct"": 99.8, ""expected_delay_days"": 101, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 3.0, ""recommended_monitoring_priority"": ""CRITICAL""}",,2026-09-02T22:35:23.416364,2026-09-02T22:35:23.416365
ALT_10001491298959957150,WORK_HASH_10001491298959957150,,,,MEDIUM,0.0,0.0,0,NEW,"{""risk_drivers"": [""Extended period without recent progress updates""], ""threshold_breached"": ""Project Risk Score 0.0 >= 25.0"", ""delay_probability_pct"": 0.0, ""expected_delay_days"": 0, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 12.3, ""recommended_monitoring_priority"": ""LOW""}",,2026-09-02T22:35:23.416381,2026-09-02T22:35:23.416383
