source_dataset,source_row_id,candidate_dataset,candidate_row_id,source_work,candidate_work,source_mp,candidate_mp,source_constituency,candidate_constituency,source_state,candidate_state,source_amount,candidate_amount,match_score,confidence_level,match_method,decision,review_status
allocated limit for honble mps (4),25,expenditure on completed and on-going works as on date (2),568,,"Construction of roads, link roads, pathways or any other road with or without drainage system",Sandeep Kumar Pathak (2022-28) (2022-2028),Sandeep Kumar Pathak (2022-28) (2022-2028),,,Punjab,Punjab,232203454.2,51000.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),209,expenditure on completed and on-going works as on date (2),814,,"Construction of roads, link roads, pathways or any other road with or without drainage system",Jebi Mather Hisham (2022-28) (2022-2028),Jebi Mather Hisham (2022-28) (2022-2028),,,Kerala,Kerala,220563957.1,771065.0,81.46,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),158,expenditure on completed and on-going works as on date (2),366,,Lighting of public spaces,Ramji (2020-26) (2020-2026),Ramji (2020-26) (2020-2026),,,Uttar Pradesh,Uttar Pradesh,174518577.1,11523.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),54,expenditure on completed and on-going works as on date (2),433,,"Construction of roads, link roads, pathways or any other road with or without drainage system",Babubhai Jesangbhai Desai (2023-29) (2023-2029),Babubhai Jesangbhai Desai (2023-29) (2023-2029),,,Gujarat,Gujarat,171500000.0,834314.0,81.47,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),169,expenditure on completed and on-going works as on date (2),14,,"Purchase of IT systems, including hardware and software for educational purposes",S. Selvaganabathy (2021-27) (2021-2027),S. Selvaganabathy (2021-27) (2021-2027),,,Puducherry,Puducherry,292881856.5,144680.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),103,expenditure on completed and on-going works as on date (2),307,,Construction of community centers and community halls,Kesridevsinh Jhala (2023-29) (2023-2029),Kesridevsinh Jhala (2023-29) (2023-2029),,,Gujarat,Gujarat,171500000.0,503199.0,81.46,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),161,expenditure on completed and on-going works as on date (2),458,,Construction of community centers and community halls,Randeep Singh Surjewala (2022-28) (2022-2028),Randeep Singh Surjewala (2022-28) (2022-2028),,,Rajasthan,Rajasthan,196063957.1,4275.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),219,expenditure on completed and on-going works as on date (2),113,,Lighting of public spaces,Ranjeet Ranjan (2022-28) (2022-2028),Ranjeet Ranjan (2022-28) (2022-2028),,,Chhattisgarh,Chhattisgarh,246780257.9,249668.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),31,expenditure on completed and on-going works as on date (2),842,,"Construction of roads, link roads, pathways or any other road with or without drainage system",Sikander Kumar (2022-28) (2022-2028),Sikander Kumar (2022-28) (2022-2028),,,Himachal Pradesh,Himachal Pradesh,207863957.1,56110.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),183,expenditure on completed and on-going works as on date (2),37,,"Construction of roads, link roads, pathways or any other road with or without drainage system",Sant Balbir Singh (2022-28) (2022-2028),Sant Balbir Singh (2022-28) (2022-2028),,,Punjab,Punjab,196359074.4,114000.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),124,expenditure on completed and on-going works as on date (2),532,,"Construction of roads, link roads, pathways or any other road with or without drainage system",Mukul Wasnik (2022-28) (2022-2028),Mukul Wasnik (2022-28) (2022-2028),,,Rajasthan,Rajasthan,196063957.1,5700.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),129,expenditure on completed and on-going works as on date (2),1248,,"Construction of roads, link roads, pathways or any other road with or without drainage system",Naveen Jain (2024-30) (2024-2030),Naveen Jain (2024-30) (2024-2030),,,Uttar Pradesh,Uttar Pradesh,147000000.0,896890.0,81.48,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),224,expenditure on completed and on-going works as on date (2),1366,,"Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)",Sagarika Ghose (2024-30) (2024-2030),Sagarika Ghose (2024-30) (2024-2030),,,West Bengal,West Bengal,147000000.0,91898.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),158,expenditure on completed and on-going works as on date (2),396,,Lighting of public spaces,Ramji (2020-26) (2020-2026),Ramji (2020-26) (2020-2026),,,Uttar Pradesh,Uttar Pradesh,174518577.1,11523.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),103,expenditure on completed and on-going works as on date (2),1332,,Construction of community centers and community halls,Kesridevsinh Jhala (2023-29) (2023-2029),Kesridevsinh Jhala (2023-29) (2023-2029),,,Gujarat,Gujarat,171500000.0,601607.0,81.46,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),162,expenditure on completed and on-going works as on date (2),575,,Construction of rooms and halls in school and colleges,Ratanjit Pratap Narain Singh (2024-30) (2024-2030),Ratanjit Pratap Narain Singh (2024-30) (2024-2030),,,Uttar Pradesh,Uttar Pradesh,147000000.0,240000.0,81.45,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),25,expenditure on completed and on-going works as on date (2),723,,Development of playfields and sports grounds,Sandeep Kumar Pathak (2022-28) (2022-2028),Sandeep Kumar Pathak (2022-28) (2022-2028),,,Punjab,Punjab,232203454.2,80000.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
