work_id,work_id_raw,category,description,mp_id,constituency_id,ida_id,state,parliament,recommendation_date,recommended_amount,sanction_date,sanction_amount,status,completion_date,disbursed_amount,has_evidence,total_expenditure,expenditure_tx_count,first_payment_date,last_payment_date,unique_vendors,district_category_median,cost_deviation_pct,recommendation_to_sanction_days,sanction_to_first_payment_days,last_payment_to_completion_days,total_execution_days,total_expenditure_vs_sanction_amount,is_overpayment,mp_total_recommended,mp_allocated_limit,mp_recommended_total_vs_allocated_limit,budget_ceiling_breach_flag,evidence_missing_flag,vendor_txn_count_per_district_per_quarter
WS/MP187/2023-2024/1199-Construction of rooms and halls in school and colleges,WS/MP187/2023-2024/1199-Construction of rooms and halls in school and colleges,Other Public Infrastructure,Construction of Class room Sompal Singh Memorial Public School,MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_B160A2AD,Uttar Pradesh,rajya_sabha,14-Jun-2023,1000000.0,07-Nov-2023,1000000.0,VENDOR IDENTIFICATION,,,,0.0,0,,,0,283000.0,253.36,146,-1,-1,-1,0.0,False,169156300.0,196063957.1,0.8628,False,False,0
WS/MP187/2023-2024/1200-Construction of rooms and halls in school and colleges,WS/MP187/2023-2024/1200-Construction of rooms and halls in school and colleges,Other Public Infrastructure,Construction of Class room and Hall Sainik Veer Abdul Hamid Uchhtar madhyamik Vidyalaya,MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_B160A2AD,Uttar Pradesh,rajya_sabha,14-Jun-2023,1000000.0,08-Dec-2023,1000000.0,PHYSICAL INSPECTION,,,,0.0,0,,,0,283000.0,253.36,177,-1,-1,-1,0.0,False,169156300.0,196063957.1,0.8628,False,False,0
WS/MP187/2023-2024/1211-Construction of rooms and halls in school and colleges,WS/MP187/2023-2024/1211-Construction of rooms and halls in school and colleges,Other Public Infrastructure,Construction of Classroom and hall Galaxy Public School lakhna,MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_6B82FA00,Uttar Pradesh,rajya_sabha,14-Jun-2023,1000000.0,15-Mar-2024,1000000.0,WORK COMPLETED,27-Sep-25,987994.0,True,0.0,0,,,0,283000.0,253.36,275,-1,-1,561,0.0,False,169156300.0,196063957.1,0.8628,False,False,0
"WS/MP001/2023-2024/1215-Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2023-2024/1215-Construction of roads, link roads, pathways or any other road with or without drainage system",Other Public Infrastructure,P.C.C ??? ?? ???????,MP_9F4B2345,C_BIHAR_ELECTED_MP,IDA_68F441D4,Bihar,rajya_sabha,14-Jun-2023,1484933.0,12-Aug-2023,1484933.0,WORK COMPLETED,23-Sep-23,1484933.0,False,0.0,0,,,0,970000.0,53.09,59,-1,-1,42,0.0,False,211985612.0,237168443.5,0.8938,False,True,0
"WS/MP001/2023-2024/1216-Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2023-2024/1216-Construction of roads, link roads, pathways or any other road with or without drainage system",Other Public Infrastructure,P.C.C ??? ?? ???????,MP_9F4B2345,C_BIHAR_ELECTED_MP,IDA_68F441D4,Bihar,rajya_sabha,14-Jun-2023,1486089.0,12-Aug-2023,1486089.0,WORK COMPLETED,23-Sep-23,1486089.0,False,0.0,0,,,0,970000.0,53.21,59,-1,-1,42,0.0,False,211985612.0,237168443.5,0.8938,False,True,0
"WS/MP001/2023-2024/1217-Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2023-2024/1217-Construction of roads, link roads, pathways or any other road with or without drainage system",Other Public Infrastructure,P.C.C ??? ?? ???????,MP_9F4B2345,C_BIHAR_ELECTED_MP,IDA_68F441D4,Bihar,rajya_sabha,14-Jun-2023,1484550.0,12-Aug-2023,1484550.0,WORK COMPLETED,23-Sep-23,1484550.0,False,0.0,0,,,0,970000.0,53.05,59,-1,-1,42,0.0,False,211985612.0,237168443.5,0.8938,False,True,0
"WS/MP001/2023-2024/1218-Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2023-2024/1218-Construction of roads, link roads, pathways or any other road with or without drainage system",Other Public Infrastructure,P.C.C ??? ?? ???????,MP_9F4B2345,C_BIHAR_ELECTED_MP,IDA_68F441D4,Bihar,rajya_sabha,14-Jun-2023,1484940.0,12-Aug-2023,1484940.0,PHYSICAL INSPECTION,03-Mar-24,1484940.0,True,0.0,0,,,0,970000.0,53.09,59,-1,-1,204,0.0,False,211985612.0,237168443.5,0.8938,False,False,0
WS/MP190/2023-2024/1301-Street lights,WS/MP190/2023-2024/1301-Street lights,Other Public Infrastructure,LED Semi HighMast Light,MP_7C980F88,C_UTTAR__ELECTED_MP,IDA_4DF43721,Uttar Pradesh,rajya_sabha,19-Jun-2023,243000.0,24-Aug-2023,243000.0,PHYSICAL INSPECTION,02-Mar-24,243000.0,True,0.0,0,,,0,283000.0,-14.13,66,-1,-1,191,0.0,False,171978928.0,196063957.1,0.8772,False,False,0
WS/MP190/2023-2024/1302-Street lights,WS/MP190/2023-2024/1302-Street lights,Other Public Infrastructure,LED Semi Highmast Light,MP_7C980F88,C_UTTAR__ELECTED_MP,IDA_4DF43721,Uttar Pradesh,rajya_sabha,19-Jun-2023,243000.0,24-Aug-2023,243000.0,PHYSICAL INSPECTION,02-Mar-24,243000.0,True,0.0,0,,,0,283000.0,-14.13,66,-1,-1,191,0.0,False,171978928.0,196063957.1,0.8772,False,False,0
WS/MP190/2023-2024/1303-Street lights,WS/MP190/2023-2024/1303-Street lights,Other Public Infrastructure,LED SEMI High Mast Light,MP_7C980F88,C_UTTAR__ELECTED_MP,IDA_4DF43721,Uttar Pradesh,rajya_sabha,19-Jun-2023,243000.0,24-Aug-2023,243000.0,PHYSICAL INSPECTION,02-Mar-24,243000.0,True,0.0,0,,,0,283000.0,-14.13,66,-1,-1,191,0.0,False,171978928.0,196063957.1,0.8772,False,False,0
WS/MP190/2023-2024/1304-Street lights,WS/MP190/2023-2024/1304-Street lights,Other Public Infrastructure,LED Semi Highmast Light,MP_7C980F88,C_UTTAR__ELECTED_MP,IDA_4DF43721,Uttar Pradesh,rajya_sabha,19-Jun-2023,243000.0,24-Aug-2023,243000.0,PHYSICAL INSPECTION,02-Mar-24,243000.0,True,0.0,0,,,0,283000.0,-14.13,66,-1,-1,191,0.0,False,171978928.0,196063957.1,0.8772,False,False,0
